repository,fix_sha,parent_sha,pr,named_transitions,eligible_files,content_id,reverse_patch_mode,disposition,d_class
BargLabs/alfred,028b1baf03230faada53d772dbf1df900c5de216,38bd72956454557dd09c98779b94b4b54c14c7e8,,Promote app after migrations:failure->success,packages/witan/package.json,35e1d98181fb4f1987665b039a414ee15321055d16a3dd2d3acf7606a8cc9298,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,030448323ce59710acc814556cf9d4d013939d2f,66f7b087fb8047ac4ded1a490473fcf067c0c151,78,Check post-merge dedup:skipped->success; ci-full:skipped->success,apps/web/package.json,dc0d0f373e630871ac201e7e9e042747822c014737546b72b141738d9246b78a,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,042b8af9de68ef2ae5f0ade4b649fcfc8c00fe73,8a10a48ec895e7780ca6be9a5cf6b571c888cf83,33,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/automerge-tier-green.yml; .github/workflows/cowork-claude-approved-config.json; .github/workflows/cowork-claude-approved-prompt.md; .github/workflows/cowork-claude-approved.yml,17e7ef3a20b022ba6fbb3900c2a03c808d7f5d7728fd242426759b6270870df4,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,05ae6b6e0f0eb2336d544fbd7d460d07847ae03e,f2ad27c530238793b3e24a05c0239fd8d6712f18,222,Check post-merge dedup:skipped->success,packages/witan/package.json,27a72eba770de4f1dc11c3423264b74d78f7a379ac1fd497a863e7aeef6b2211,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,0be970492a9cb49c1e8a3f516933ccfe3853c685,f20373a881e1dcb84ec0302275161d12a02ddd1f,479,Committed board matches committed corpus:failure->success,packages/witan-cli/package.json,35420f264d3b682f2d9327bbcad05d086ba0ff35f5e5b27abd0b59cfdaf2d906,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,0c5a2ea035273db502664bc3c8ad7e250a4d0596,e201622c5b556818cafd8596bcfd87cfeb2f0dff,555,Build + run SEA binary:failure->success; Committed board matches committed corpus:failure->success; min-score gate fails the step when unmet:failure->success; Score this repo with Witan:failure->success,packages/witan-cli/package.json,6ab3fbfbcddd4f16ca36d94d094670d0805ed40bd52705009f40a7c652688961,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,10bb6896dbef396db8b85abacd175f0b4a289729,f2732518a441b2010a32c68bc268f165c8ae754d,202,Check post-merge dedup:skipped->success; Test:skipped->success; Typecheck:skipped->success,.github/workflows/ci-fast.yml; .github/workflows/ci-full.yml; .github/workflows/preflight.yml; turbo.json,a6b1ee648aedc208fef54ea56d2c4f3a406c77e1a57c9405787ff0a2315d2a41,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,135aea002b88485efba44c10b1bb129840047361,83a787daa5b406c4351474b841ef17f1a1983bf7,28,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/ci-full.yml; .github/workflows/ci-nightly-drift.yml; .github/workflows/ci-post-merge-smoke.yml,68c1e5005ad8b1d5896c97544110a37aade793300b1750933f33920e971ef0fa,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,2548bc5fb80edc8a70665f78e9a8b80270a5858a,7f1b2cfae0abd3554b685f583767ab04ea03ca8d,88,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/production-migrate-and-deploy.yml,59d1f6bec203b0d673b1f803fc48ee47a75891096bec48361d076112bf60f522,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,26f235ab0f4c3f7003228601931e509a29f9fea4,b5ae0c5b59f53bfc1c0272507591ad1013a11202,164,Check post-merge dedup:skipped->success; ci-full:skipped->success,apps/web/tsconfig.json,d40c6c72746bf36690316f4fa32dcc6e51f4cd642d60c7b2d62c9607173e4e46,direct,excluded: reverse stayed green,
